content,score,thumbsUpCount,at,clean_content
Udah sering belanja trs tapi setiap pengajuan tidak lolos trs.. jadi males belanja. Uninstal aja,1,1,2022-12-05 13:29:47,udah belanja tr pengajuan lolo tr male belanja uninst aja
Semenjak di upgrade.. SHOPEE JADI LEMOT,1,0,2022-12-27 05:36:57,semenjak upgrad shope lemot
Penyelesaian masalah sangat buruk,1,0,2022-08-15 07:00:00,penyelesaian buruk
Apk engga😇 jls,1,0,2023-03-16 04:05:30,apk engga jl
Lelet stress. Udah update terbaru tetap aja lemot,1,0,2022-12-22 17:34:33,lelet stress udah updat terbaru aja lemot
Fitur lengkap tapi apk berat,1,0,2023-01-01 11:07:14,fitur lengkap apk berat
Shopee express jasa pengiriman lelet sekali.nyesel pakai shopee express.. masa Jakarta Kalimantan barat lebih dari satu Minggu. Bobrok ni expedisi,1,0,2022-10-04 04:03:50,shope express jasa pengiriman lelet sekalinyesel pakai shope express jakarta kalimantan barat minggu bobrok ni expedisi
"Bintang satu aja,,,, karena paylater ku d matikan pihak Shopee,, cuma telat berapa hari,,, dan yg penting d bayar juga kan,,, terimakasih",1,0,2022-09-10 11:04:19,bintang aja paylat ku d matikan shope telat yg d bayar terimakasih
Ga Kya dlu ada akun ff nya,1,0,2022-11-16 00:44:42,ga kya dlu akun ff nya
Aplikasi lemot,1,0,2023-03-13 15:22:10,aplikasi lemot
"Makin lemot saja nih koneksi shopeee, buka toko Merah sebelah aman aman aja",1,0,2022-10-29 10:24:32,lemot nih koneksi shopee buka toko merah sebelah aman aman aja
Lemot banget sekarang.,1,0,2022-11-20 04:45:57,lemot banget
"Shopee memang payah,paket sepatu dari Jakarta kebatam,15 hari belum sampai,kurirnya shopee xpress hemat,nggak sesuai dengan namanya,bea 39rb,kurir lain aja 3 hari sudah sampai,malas belanja dishopee sekarang.",1,0,2023-02-19 10:12:01,shope payahpaket sepatu jakarta kebatam sampaikurirnya shope xpress hematnggak sesuai namanyabea rbkurir aja sampaimala belanja dishope
Apk lintah darat...banyak ongkos tambahan,1,0,2022-12-24 01:23:54,apk lintah daratbanyak ongko tambahan
Aplikasi lemot... pencarian tidak akurat... Jelek bgt sekarng.tolong perbaiki agar bintang bisa full,1,0,2022-11-05 11:32:10,aplikasi lemot pencarian akurat jelek bgt sekarngtolong perbaiki bintang full
Notifikasi Shopee video ganggu. Stop jadi TikTok wannabe. Fokus aja ke e-commerce,1,0,2022-09-12 08:05:34,notifikasi shope video ganggu stop tiktok wannab foku aja ecommerc
"Kocakk nii asli, spinjam ga bs , skg sppaylater pun di nonaktfkan ga jelas bgt bisa tb2 bgtu. Bukan makin lbh baik stlh di updt malah makin jadi buruk nya hahaa",1,0,2022-08-09 08:35:28,kocakk nii asli spinjam ga bs skg sppaylat nonaktfkan ga bgt tb bgtu lbh stlh updt buruk nya hahaa
Lemotttttt parahhhhhhhhhhh,1,0,2022-07-16 19:02:07,lemotttttt parahhhhhhhhhhh
Saya kira cuma saya yang merasakan trouble pada aplikasi ini... Ternyata hampir semua. Makin diupdate makin kacau... Shoope sekarang berat karena ada video kaya tik tok segala macam. Nggak nyaman,1,0,2022-11-06 06:13:57,merasakan troubl aplikasi diupdat kacau shoop berat video kaya tik tok nggak nyaman
eror mulu,1,0,2022-09-22 13:21:00,eror mulu
"Sumpah aplikasi sering ngelag, trs tiba"" log out sendiri. Tlg dibenerin yah! Susah tau buat yang lupa email sama pasword nya!",1,0,2023-02-06 04:54:46,sumpah aplikasi ngelag tr log out tlg dibenerin yah susah tau lupa email pasword nya
Shopee ngebug apa gimana sih? Uang dari shopee video bisa ditarik ke spay tapi dari spay gabisa ditransfer ke rekening. Parah. Rating ku ubah kalau sudah diperbaiki,1,0,2022-08-01 04:10:26,shope ngebug gimana sih uang shope video ditarik spay spay gabisa ditransf reken parah rate ku ubah diperbaiki
"Pelayanan burik,,konsumen cm jadi target pasar doang,seller banyak yg cm nyari cuan tanpa melayani konsumen dgn benar Komplen ga ditanggepin Merdeka deh buat seller Buat pembeli mau protes juga ga bakalan digubris Makasih pengalamannya,ga bakalan pesennlagi d aplikasi ini",1,0,2023-04-01 01:36:31,pelayanan burikkonsumen cm target pasar doangsel yg cm nyari cuan melayani konsumen dgn komplen ga ditanggepin merdeka deh seller pemb prote ga digubri makasih pengalamannyaga pesennlagi d aplikasi
Gj,1,0,2022-08-17 07:46:35,gj
Udah lama ga belanja di shopee pas mua check out lupa pin mau ganti pin ga bisa alasan keamanan ini aplikasi gimana si gua mau belanja susah woooyyy,1,0,2022-11-19 06:07:41,udah ga belanja shope pa mua check out lupa pin ganti pin ga alasan keamanan aplikasi gimana si gua belanja susah woooyyy
"Makin parah, Saat hendak buka aplikasi selalu eror Dan selalu ada kata kata halaman sedang dalam perbaikan setelah itu kembali ke halaman utama gimana mw masuk selalu kenak tolak terus",1,0,2022-12-23 23:25:13,parah buka aplikasi eror halaman perbaikan halaman utama gimana mw masuk kenak tolak
Shopee lemooooooooootttttttttt bikin emosiiiii tiap buka aplikasinya !!!!!!!!!!!!!!!!!!!!!!!,1,0,2022-11-06 01:12:37,shope lemooooooooootttttttttt bikin emosiiiii buka aplikasinya
Tiap buka produk cuma blank putih ga ada yg bisa dilihat atau klik.,1,0,2022-10-27 14:17:58,buka produk blank putih ga yg klik
Bohong,1,0,2023-04-02 03:32:30,bohong
"Kembalikan shope yg dulu Yg geratis ongkir tampa minimal belanja Tanpa spaylatger dan spipay, shoppe adminnya ga ramah masalah saya tentang komisi affiliate selama 5 bulan tidak cair dan tidakterselesaikan",1,0,2022-09-09 13:23:47,kembalikan shope yg yg gerati ongkir tampa minim belanja spaylatg spipay shopp adminnya ga ramah komisi affili cair tidakterselesaikan
Tekek,1,0,2022-12-07 11:39:24,tekek
Ngeleg gjls bngt,1,0,2023-02-05 02:06:34,ngeleg gjl bngt
pesen barang gasampe2,1,0,2022-09-16 07:56:47,pesen barang gasamp
bed,1,0,2022-08-23 18:47:53,bed
Lelet bgt sii mangkin gk enk deh,1,0,2022-12-10 06:00:47,lelet bgt sii mangkin gk enk deh
PARAH ANYING AKUN SHOPEE AING MALAH DI BLOKIR DENGAN ALASAN GAJELAS !,1,0,2022-12-23 08:40:21,parah ani akun shope a blokir alasan gajela
kebanyakan update setiap update malah malin ga jelas malah makin lemot sistem loading nya buka karena jaringan tpi emang dri shoppe nya!!!,1,0,2023-01-04 13:18:21,kebanyakan updat updat malin ga lemot sistem load nya buka jaringan tpi emang dri shopp nya
"Transfer ke bank kena biaya 2500, katanya gratis",1,0,2022-12-02 05:29:36,transfer bank kena biaya grati
"Sorry nihh, kenapa untuk pencarian seperti pods, vape, dll tidak bisa di cari ya !!!! Tolong perbaiki dongs",1,0,2023-01-29 07:08:21,sorri nihh pencarian pod vape dll cari ya tolong perbaiki dong
Tidak sesuai pesanan,1,0,2022-08-27 01:02:53,sesuai pesanan
Aplikasi nya terlalu berat bngt dan lemot parah bngt,1,0,2022-08-15 18:50:56,aplikasi nya berat bngt lemot parah bngt
Nyesal gue dowloadnya..gk bisa sama sekali di buka yg ada muter muter trs..parah sihh buat yg mau download urungkan niatmu dekk.nanti nyesal,1,0,2022-08-04 10:45:34,nyesal gue dowloadnyagk buka yg muter muter trsparah sihh yg download urungkan niatmu dekknanti nyesal
"Jujur ini aplikasi semakin ke sini semakin gak jelas, sudah top up, mau isi pulsa malah keluar terus",1,0,2022-12-21 15:40:50,jujur aplikasi gak top up isi pulsa
server jelek. konekdi kenceng di shopee jadi lemot,1,0,2023-01-19 13:43:35,server jelek konekdi kenceng shope lemot
"Di hp ZTEA0622, jika kalian login/daftar gabisa (Muncul L01) di web pdhl bisa. cuman di aplikasinnya aja yg bug",1,1,2023-01-13 19:40:01,hp ztea logindaftar gabisa muncul l web pdhl cuman aplikasinnya aja yg bug
"Pilih pengiriman instant, sampenya besok hari nya",1,0,2022-07-14 03:41:53,pilih pengiriman instant sampenya besok nya
Verifikasi wajah kenapa lama sekali. Padahal nomer HP dan pasword sudah betul,1,0,2022-10-27 08:30:41,verifikasi wajah nomer hp pasword
Lemot parah,1,0,2022-11-02 13:43:00,lemot parah
